Purpose,대분류,중분류,소분류,Section,테스트 항목,사전조건,테스트 스텝,기대결과
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Password 암호화 여부 확인,1. Sign In Page 진입,text 입력,"입력된 text ""*"" 표시로 암호화되어 출력된다"
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Backspace Button 선택 시 동작 확인,"1. Sign In Page 진입
2. text 입력",Backspace Button 선택,입력된 text 1글자씩 삭제된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,text 삭제 시 동작 확인,"1. Sign In Page 진입
2. text 입력",입력된 text 삭제,Placeholder 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Show Password icon 확인,1. Sign In Page 진입,Show Password icon 출력 확인,Slashed Eye 형태의 Show Password icon 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Show Password icon UI 확인,1. Sign In Page 진입,Show Password icon 출력 확인,Show Password icon Dimmed 처리되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Show Password icon 기능 확인,"1. Sign In Page 진입
2. Password 입력된 상태",Show Password icon 선택,입력된 text 비암호화되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Show Password icon 선택 시 동작 확인,"1. Sign In Page 진입
2. Password 입력된 상태",Show Password icon 선택,Hide Password icon Toggle 동작한다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Hide Password icon 확인,"1. Sign In Page 진입
2. Show Password icon 선택",Hide Password icon 출력 확인,Eye 형태의 Hide Password icon 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Hide Password icon UI 확인,"1. Sign In Page 진입
2. Show Password icon 선택",Hide Password icon 출력 확인,Hide Password icon 흰색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Hide Password icon 기능 확인,"1. Sign In Page 진입
2. Password 입력
3. Show Password icon 선택",Hide Password icon 선택,입력된 text 암호화되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,Hide Password icon 선택 시 동작 확인,"1. Sign In Page 진입
2. Password 입력
3. Show Password icon 선택",Hide Password icon 선택,Show Password icon Toggle 동작한다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,실시간 유효성 검사 동작 확인,1. Sign In Page 진입,text 입력,입력된 text 기반으로 실시간 유효 여부 확인된다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,text 미입력 시 UI 확인,"1. Sign In Page 진입
2. text 입력",입력된 text 삭제,input box 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,text 미입력 시 동작 확인,"1. Sign In Page 진입
2. text 입력",입력된 text 삭제,Absence Error message text 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,Absence Error message text UI 확인,"1. Sign In Page 진입
2. text 입력
3. 입력된 text 삭제",Absence Error message text 출력 확인,Absence Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,6자 미만 입력 시 동작 확인,1. Sign In Page 진입,6자 미만 입력,Minimum Error message text 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,20자 이상 입력 시 동작 확인,1. Sign In Page 진입,20자 이상 입력,Maximum Error message text 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,Minimum Error message text UI 확인,"1. Sign In Page 진입
2. 6자 미만 입력",Invalid Error message text 출력 확인,Minimum Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,Maximum Error message text UI 확인,"1. Sign In Page 진입
2. 20자 초과 입력",Invalid Error message text 출력 확인,Maximum Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,유효한 Password 입력 시 동작 확인,1. Sign In Page 진입,유효한 암호 입력,Error message text 사라진다
WEB,KOCOWA ID Sign In,Password Input Area,Validation,#NAME?,유효한 Password 입력 시 UI 확인,1. Sign In Page 진입,유효한 암호 입력,input box 흰색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Function Area,Forgot Password text Button,#NAME?,Forgot Password text Button 기능 확인,1. Sign In Page 진입,Forgot Password text Button 선택,Forgot Password Page 진입된다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,Sign In Button 선택 시 동작 확인,1. Sign In Page 진입,Sign In Button 선택,계정 정보 유효성 검사 동작한다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,계정 정보 미입력 시 Sign In Button 기능 확인,"1. Sign In Page 진입
2. Account 미입력",Sign In Button 선택,동작하지 않는다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,비유효 Email 입력 시 Sign In Button 기능 확인,"1. Sign In Page 진입
2. 유효하지 않은 Email 정보 입력
3. 유효한 Password 입력",Sign In Button 선택,동작하지 않는다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,비유효 Passwrod 입력 시 Sign In Button 기능 확인,"1. Sign In Page 진입
2. 유효하지 않은 Password 입력
3. 유효한 Email Address 입력",Sign In Button 선택,동작하지 않는다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,미가입 KOCOWA 계정 정보 입력 시 Sign In Button 기능 확인,"1. Sign In Page 진입
2. 가입되지 않은 KOCOWA 계정 정보 입력",Sign In Button 선택,Incorrect Password POP UP 출력된다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,Wrong Password 입력 시 Sign In Button 기능 확인,"1. Sign In Page 진입
2. KOCOWA 계정 정보 입력
3. Wrong Password 입력",Sign In Button 선택,Incorrect Password POP UP 출력된다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,Social Account 입력 시 Sign In Button 기능 확인,"1. Sign In Page 진입
2. Social Account 정보 입력
3. SNS Linked 상태",Sign In Button 선택,SNS LINK POP UP 출력된다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,유효한 계정 정보 입력 시 Sign In Button 기능 확인,"1. Sign In Page 진입
2. 유효한 계정 정보 입력",Sign In Button 선택,해당 계정으로 Sign in 된다
WEB,KOCOWA ID Sign In,Function Area,Sign In Button,#NAME?,Sign In 시 동작 확인,"1. Sign In Page 진입
2. 유효한 계정 정보 입력",Sign In Button 선택,Multi-Profile Main Page 진입된다
WEB,KOCOWA ID Sign In,Function Area,Sign Up text Button,#NAME?,Sign Up text Button 기능 확인,1. Sign In Page 진입,Sign Up text Button 선택,Sign Up Page 진입된다
WEB,Social Sign In,Google Social Sign In,,#NAME?,Google Social Sign In Button 확인,1. Sign In Page 진입,Google Social Sign In Button 출력 확인,Google Social Sign In Button 출력된다
WEB,Social Sign In,Google Social Sign In,,#NAME?,Google Social Sign In Button 기능 확인,1. Sign In Page 진입,Google Social Sign In Button 선택,Google Sign In POP UP 출력된다
WEB,Social Sign In,Google Social Sign In,Google Sign In POP UP,#NAME?,Google Social Sign In 기능 확인,"1. Sign In Page 진입
2. Google Social Sign In Button 선택
3. SNS Linked 상태",Google Social Account 입력,해당 계정으로 Sign in 된다
WEB,Social Sign In,Google Social Sign In,Google Sign In POP UP,#NAME?,Google Social Sign In 시 동작 확인,"1. Sign In Page 진입
2. Google Social Sign In Button 선택
3. SNS Linked 상태",Google Social Account 입력,Multi-Profile Main Page 진입된다
WEB,Social Sign In,Google Social Sign In,Google Sign In POP UP,#NAME?,Google Social Sign Up 기능 확인,"1. Sign In Page 진입
2. Google Social Sign In Button 선택
3. SNS Link 되어 있지 않은 상태",Google Social Account 입력,해당 계정으로 Sign Up 된다
WEB,Social Sign In,Google Social Sign In,Google Sign In POP UP,#NAME?,Google Social Sign Up 시 동작 확인,"1. Sign In Page 진입
2. Google Social Sign In Button 선택
3. SNS Link 되어 있지 않은 상태",Google Social Account 입력,Profile Data Input Page 진입된다
WEB,Social Sign In,Apple Social Sign In,,#NAME?,Apple Social Sign In Button 확인,1. Sign In Page 진입,Apple Social Sign In Button 출력 확인,Apple Social Sign In Button 출력된다
WEB,Social Sign In,Apple Social Sign In,,#NAME?,Apple Social Sign In Button 기능 확인,1. Sign In Page 진입,Apple Social Sign In Button 선택,Apple Sign In POP UP 출력된다
WEB,Social Sign In,Apple Social Sign In,Apple Sign In POP UP,#NAME?,Apple Social Sign In 기능 확인,"1. Sign In Page 진입
2. Apple Social Sign In Button 선택
3. SNS Linked 상태",Apple Social Account 입력,해당 계정으로 Sign in 된다
WEB,Social Sign In,Apple Social Sign In,Apple Sign In POP UP,#NAME?,Apple Social Sign In 시 동작 확인,"1. Sign In Page 진입
2. Apple Social Sign In Button 선택
3. SNS Linked 상태",Apple Social Account 입력,Multi-Profile Main Page 진입된다
WEB,Social Sign In,Apple Social Sign In,Apple Sign In POP UP,#NAME?,Apple Social Sign Up 기능 확인,"1. Sign In Page 진입
2. Apple Social Sign In Button 선택
3. SNS Link 되어 있지 않은 상태",Apple Social Account 입력,해당 계정으로 Sign Up 된다
WEB,Social Sign In,Facebook Social Sign In,,#NAME?,Facebook Social Sign In Button 확인,1. Sign In Page 진입,Facebook Social Sign In Button 출력 확인,Facebook Social Sign In Button 출력된다
WEB,Social Sign In,Facebook Social Sign In,,#NAME?,Facebook Social Sign In Button 기능 확인,1. Sign In Page 진입,Facebook Social Sign In Button 선택,Facebook Sign In POP UP 출력된다
WEB,Social Sign In,Facebook Social Sign In,Facebook Sign In POP UP,#NAME?,Facebook Social Sign In 기능 확인,"1. Sign In Page 진입
2. Facebook Social Sign In Button 선택
3. SNS Linked 상태",Facebook Social Account 입력,해당 계정으로 Sign in 된다
WEB,Social Sign In,Facebook Social Sign In,Facebook Sign In POP UP,#NAME?,Facebook Social Sign In 시 동작 확인,"1. Sign In Page 진입
2. Facebook Social Sign In Button 선택
3. SNS Linked 상태",Facebook Social Account 입력,Multi-Profile Main Page 진입된다
WEB,Social Sign In,Facebook Social Sign In,Facebook Sign In POP UP,#NAME?,Facebook Social Sign Up 기능 확인,"1. Sign In Page 진입
2. Facebook Social Sign In Button 선택
3. SNS Link 되어 있지 않은 상태",Facebook Social Account 입력,해당 계정으로 Sign Up 된다
WEB,Social Sign In,OnDemandKorea Social Sign In,,#NAME?,OnDemandKorea Social Sign In Button 확인,1. Sign In Page 진입,OnDemandKorea Social Sign In Button 출력 확인,OnDemandKorea Social Sign In Button 출력된다
WEB,Social Sign In,OnDemandKorea Social Sign In,,#NAME?,OnDemandKorea Social Sign In Button 기능 확인,1. Sign In Page 진입,OnDemandKorea Social Sign In Button 선택,OnDemandKorea Sign In POP UP 출력된다
WEB,Sign Up Page,Header Area,,#NAME?,KOCOWA logo image 확인,1. Sign Up Page 진입,KOCOWA logo image 출력 확인,KOCOWA logo image 출력된다
WEB,Sign Up Page,Header Area,,#NAME?,KOCOWA logo image 기능 확인,1. Sign Up Page 진입,KOCOWA logo image 선택,Home Main Page 진입된다
WEB,Sign Up Page,Header Area,,#NAME?,Home Button 확인,1. Sign In Page 진입,Home Button 확인,Home Button 출력된다
WEB,Sign Up Page,Header Area,,#NAME?,Home Button 기능 확인,1. Sign In Page 진입,Home Button 선택,Home Main Page 진입된다
WEB,Sign Up Page,Header Area,,#NAME?,Language icon 확인,1. Sign Up Page 진입,Language icon 출력 확인,지구본 형태의 Language icon 출력된다
WEB,Sign Up Page,Header Area,,#NAME?,Language icon Hover 시 동작 확인,1. Sign Up Page 진입,Language icon Hover,Language Dropdown Menu 출력된다
WEB,Sign Up Page,Header Area,,#NAME?,Sign In text Button 출력 확인,1. Sign Up Page 진입,Sign In text Button 출력 확인,Sign In text Button 출력된다
WEB,Sign Up Page,Header Area,,#NAME?,Sign In text Button 기능 확인,1. Sign Up Page 진입,Sign In text Button 선택,Sign In Page 진입된다
WEB,Sign Up Page,Header Area,,#NAME?,Header Area 상단 Fix 확인,1. Sign Up Page 진입,Scroll Down,Header Area 상단 고정되어 출력된다
WEB,Sign Up Page,Sign Up Area,,#NAME?,KOCOWA ID Sign Up Area 확인,1. Sign Up Page 진입,KOCOWA ID Sign Up Area 출력 확인,KOCOWA ID Sign Up Area 출력된다
WEB,Sign Up Page,Sign Up Area,,#NAME?,Social Sign Up Area 확인,1. Sign Up Page 진입,Social Sign Up Area 출력 확인,Social Sign Up Area 출력된다
WEB,Sign Up Page,Sign Up Area,,#NAME?,Terms of Use text Button 기능 확인,1. Sign Up Page 진입,Terms of Use text Button 선택,Terms of Use Page 진입된다
WEB,Sign Up Page,Sign Up Area,,#NAME?,Privacy Policy text Button 기능 확인,1. Sign Up Page 진입,Privacy Policy text Button 선택,Privacy Policy Page 진입된다
WEB,Sign Up Page,Sign Up Area,,#NAME?,Privacy Policy (Brazil) text Button 기능 확인,1. Sign Up Page 진입,Privacy Policy (Brazil) text Button 선택,Privacy Policy (Brazil) Page 진입된다
WEB,Sign Up Page,Sign Up Area,,#NAME?,Privacy Policy (Europe) text Button 기능 확인,1. Sign Up Page 진입,Privacy Policy (Europe) text Button 선택,Privacy Policy (Europe) Page 진입된다
WEB,Sign Up Page,Sign Up Area,,#NAME?,Privacy Policy (Oceania) text Button 기능 확인,1. Sign Up Page 진입,Privacy Policy (Oceania) text Button 선택,Privacy Policy (Oceania) Page 진입된다
WEB,KOCOWA ID Sign Up,Name Input Area,,#NAME?,input box 확인,1. Sign Up Page 진입,input box 출력 확인,input box 출력된다
WEB,KOCOWA ID Sign Up,Name Input Area,,#NAME?,text 선택 시 동작 확인,"1. Sign Up Page 진입
2. input box 선택",text 선택,선택한 text 입력된다
WEB,KOCOWA ID Sign Up,Name Input Area,,#NAME?,text 입력 시 동작 확인,"1. Sign Up Page 진입
2. input box 선택",text 입력,Placeholder 사라진다
WEB,KOCOWA ID Sign Up,Name Input Area,,#NAME?,Backspace Button 선택 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",Backspace Button 선택,입력된 text 1글자씩 삭제된다
WEB,KOCOWA ID Sign Up,Name Input Area,,#NAME?,text 삭제 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,Placeholder 출력된다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,실시간 유효성 검사 동작 확인,"1. Sign Up Page 진입
2. input box 선택",text 입력,입력된 text 기반으로 실시간 유효 여부 확인된다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,text 미입력 시 UI 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,input box 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,text 미입력 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,Absence Error message text 출력된다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,Absence Error message text UI 확인,"1. Sign Up Page 진입
2. text 입력
3. 입력된 text 삭제",Absence Error message text 출력 확인,Absence Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,21자 이상 입력 시 UI 확인,"1. Sign Up Page 진입
2. input box 선택",21자 이상의 Name text 입력,input box 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,21자 이상 입력 시 동작 확인,"1. Sign Up Page 진입
2. input box 선택",21자 이상의 Name text 입력,Limit Error message text 출력된다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,Limit Error message text UI 확인,"1. Sign Up Page 진입
2. input box 선택
3. 21자 이상의 Name text 입력",Limit Error message text 출력 확인,Limit Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,유효한 Name 입력 시 동작 확인,"1. Sign Up Page 진입
2. input box 선택
3. 21자 이상의 Name text 입력",유효한 계정 정보 입력,Error message text 사라진다
WEB,KOCOWA ID Sign Up,Name Input Area,Validation,#NAME?,유효한 Name 입력 시 UI 확인,"1. Sign Up Page 진입
2. input box 선택
3. 21자 이상의 Name text 입력",유효한 계정 정보 입력,input box 흰색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,,#NAME?,input box 확인,1. Sign Up Page 진입,input box 출력 확인,input box 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,,#NAME?,text 선택 시 동작 확인,1. Sign Up Page 진입,text 선택,선택한 text 입력된다
WEB,KOCOWA ID Sign Up,Email Input Area,,#NAME?,text 입력 시 동작 확인,1. Sign Up Page 진입,text 입력,Placeholder 사라진다
WEB,KOCOWA ID Sign Up,Email Input Area,,#NAME?,Backspace Button 선택 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",Backspace Button 선택,입력된 text 1글자씩 삭제된다
WEB,KOCOWA ID Sign Up,Email Input Area,,#NAME?,text 삭제 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,Placeholder 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,실시간 유효성 검사 동작 확인,1. Sign Up Page 진입,text 입력,입력된 text 기반으로 실시간 유효 여부 확인된다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,text 미입력 시 UI 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,input box 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,text 미입력 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,Absence Error message text 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,Absence Error message text UI 확인,"1. Sign Up Page 진입
2. text 입력
3. 입력된 text 삭제",Absence Error message text 출력 확인,Absence Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,At 미입력 시 동작 확인,"1. Sign Up Page 진입
2. 계정 정보 입력","At ""@"" 특수 문자 삭제",Invalid Error message text 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,Domain 미입력 시 동작 확인,"1. Sign Up Page 진입
2. 계정 정보 입력","Domain ""."" 특수 문자 삭제",Invalid Error message text 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,Invalid Error message text UI 확인,"1. Sign Up Page 진입
2. 계정 정보 입력",Invalid Error message text 출력 확인,Invalid Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,유효한 Email 입력 시 동작 확인,"1. Sign Up Page 진입
2. 계정 정보 입력",유효한 계정 정보 입력,Error message text 사라진다
WEB,KOCOWA ID Sign Up,Email Input Area,Validation,#NAME?,유효한 Email 입력 시 UI 확인,"1. Sign Up Page 진입
2. 계정 정보 입력",유효한 계정 정보 입력,input box 흰색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,input box 확인,1. Sign Up Page 진입,input box 출력 확인,input box 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,text 선택 시 동작 확인,1. Sign Up Page 진입,text 선택,선택한 text 입력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,text 입력 시 동작 확인,1. Sign Up Page 진입,text 입력,Placeholder 사라진다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Password 암호화 여부 확인,1. Sign Up Page 진입,text 입력,"입력된 text ""●"" 표시로 암호화되어 출력된다"
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Backspace Button 선택 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",Backspace Button 선택,입력된 text 1글자씩 삭제된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,text 삭제 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,Placeholder 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Show Password icon 확인,1. Sign Up Page 진입,Show Password icon 출력 확인,Slashed Eye 형태의 Show Password icon 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Show Password icon UI 확인,1. Sign Up Page 진입,Show Password icon 출력 확인,Show Password icon Dimmed 처리되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Show Password icon 기능 확인,"1. Sign Up Page 진입
2. Password 입력된 상태",Show Password icon 선택,입력된 text 비암호화되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Show Password icon 선택 시 동작 확인,"1. Sign Up Page 진입
2. Password 입력된 상태",Show Password icon 선택,Hide Password icon Toggle 동작한다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Hide Password icon 확인,"1. Sign Up Page 진입
2. Show Password icon 선택",Hide Password icon 출력 확인,Eye 형태의 Hide Password icon 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Hide Password icon UI 확인,"1. Sign Up Page 진입
2. Show Password icon 선택",Hide Password icon 출력 확인,Hide Password icon 흰색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Hide Password icon 기능 확인,"1. Sign Up Page 진입
2. Password 입력
3. Show Password icon 선택",Hide Password icon 선택,입력된 text 암호화되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,,#NAME?,Hide Password icon 선택 시 동작 확인,"1. Sign Up Page 진입
2. Password 입력
3. Show Password icon 선택",Hide Password icon 선택,Show Password icon Toggle 동작한다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,실시간 유효성 검사 동작 확인,1. Sign Up Page 진입,text 입력,입력된 text 기반으로 실시간 유효 여부 확인된다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,text 미입력 시 UI 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,input box 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,text 미입력 시 동작 확인,"1. Sign Up Page 진입
2. text 입력",입력된 text 삭제,Absence Error message text 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,Absence Error message text UI 확인,"1. Sign Up Page 진입
2. text 입력
3. 입력된 text 삭제",Absence Error message text 출력 확인,Absence Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,6자 미만 입력 시 동작 확인,1. Sign Up Page 진입,6자 미만 입력,Minimum Limit Error message text 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,21자 이상 입력 시 동작 확인,1. Sign Up Page 진입,21자 이상 입력,Maximum Limit Error message text 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,Minimum Limit Error message text UI 확인,"1. Sign Up Page 진입
2. 6자 미만 입력",Invalid Error message text 출력 확인,Minimum Limit Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,Maximum Limit Error message text UI 확인,"1. Sign Up Page 진입
2. 21자 이상 입력",Invalid Error message text 출력 확인,Maximum Limit Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,유효한 Password 입력 시 동작 확인,1. Sign Up Page 진입,유효한 암호 입력,Error message text 사라진다
WEB,KOCOWA ID Sign Up,Password Input Area,Validation,#NAME?,유효한 Password 입력 시 UI 확인,1. Sign Up Page 진입,유효한 암호 입력,input box 흰색으로 강조되어 출력된다
WEB,KOCOWA ID Sign Up,Function Area,Next Button,#NAME?,Next Button 선택 시 동작 확인,1. Sign Up Page 진입,Next Button 선택,계정 정보 유효성 검사 동작한다
